question,cls
การแบ่งกลุ่มผู้ลงทุนที่มิใช่รายย่อย (Accredited Investor: AI) มีอะไรบ้าง,0
กรณีที่ต่างประเทศเข้ามาลงทุนในตราสารหนี้ไทยเพิ่มขึ้น จะส่งผลอย่างไร,0
การติดตามและตรวจสอบการซื้อขายมีกี่ลักษณะ,0
Par Bond คืออะไร,0
กองทุนรวม คืออะไร,0
Mid-cap Stock คืออะไร,0
เงื่อนไขในการลงทุน ของ LTF คืออะไร,0
DW ต้องมีผู้ดูแลสภาพคล่องหรือไม่,0
ตราสารหนี้ที่ผู้ออกมีสิทธิไถ่ถอนคืนก่อนครบกำหนด (Callable Bond) คืออะไร,0
ตราสารหนี้แบบมีใบตราสาร (Scrip) มีลักษณะอย่างไร,0
ซื้อขายกองทุนเปิดเมื่อ IPO ผ่านช่องทางใด,0
ตราสารหนี้ คืออะไร,0
สำนักงานพัฒนาเศรษฐกิจและสังคมแห่งชาติ (สภาพัฒน์) ให้ข้อมูลอะไรบ้าง,0
สรุปข้อมูลสำคัญของตราสาร คืออะไร,0
ตราสารหนี้แบ่งตามการค้ำประกัน มีอะไรบ้าง,0
TB คืออะไร,0
กลุ่มตราสารหนี้ในตลาด TBX มีอะไรบ้าง,0
NVDR คืออะไร,0
การเลือกหมวดธุรกิจ (Sector Strategy) มีวิธีการเลือกอย่างไร,0
การคำนวณ YTP และ YTC แต่มีจุดต่างคืออะไร,0
ซื้อตราสารหนี้ เมื่อใด,0
Trustee คืออะไร,0
หลักการ TAA คืออะไร,0
XI หมายถึงอะไร,0
กองทุนรวมตราสารหนี้ระยะยาว (Long-Term Fixed-Income Fund) คืออะไร,0
อัตราดอกเบี้ยนโยบายเปลี่ยนแปลง จะส่งผลอย่างไร,0
การลงทุนที่เน้นลงทุนในหุ้นที่มีแนวโน้มการเติบโตของกำไรสูง เป็นกลยุทธ์การลงทุนแบบใด,0
กองทุนที่ได้สิทธิประโยชน์ทางภาษี คืออะไร,0
บัญชีเงินสดปกติ (Normal Cash) คืออะไร,0
ร้องเพลงคลายเครียด,1
พอดีผมอยากจะทราบสินเชื่อเพื่อการศึกษาครับ,1
อยากถามว่าเรียนสอนแกะงบการเงินเพื่อลงทุนในหุ้นที่ไหนดีครับ,1
การคิดดอกเบี้ยจากกรมบังคับคดี คิดเท่าไร,1
ขอวิธีเจรจากับเจ้าหนี้,1
พอดีบริษัททวงหนี้ JMT ขู่ว่าจะเพิ่มดอกเยอะๆทำได้ไหมครับ,1
เวลาหุ้นตกหนัก คุณคิดว่าสมควรขายหรือซื้อ,1
ตอนนี้ดอกเบี้ยฝากประจำธนาคารไหนดีสุดครับ,1
deposit ether for ดึงเงินคืนยังไง,1
ติดหนี้ติดสินของผู้อื่น มีสิทธิ์ติดคุกเสมอไปมั้ยครับ,1
ขอคำแนะนำสำหรับการกู้เงินมารีโนเวทบ้านค่ะ,1
ตั้งแต่ต้นปีมาห้องนี้ไม่น่าจะมีคนขาดทุนจริงมั๊ย,1
ปรึกษาเรื่อง ถ้ามีที่ดิน แล้วต้องการเงินด่วน ทำอย่างไร,1
หุ้นไทยยังมีหุ้นเด้งอยู่มั้ยครับ,1
กองทุน Rmf ขายยังไง,1
โดนโกง จากการกดลิงค์ บัตรกดเงินสด ต้องใช้คืนไหม,1
ต้องจ่ายค่าธรรมเนียมบัตรเครดิตภายในกี่วัน,1
ทางตันขนาดนี้ จะอยู่ต่อไปอย่างไง,1
อยากออกรถมือสองจัดกับธนาคารอะไรดอกน้อยที่สุดคับ ขอความรู้หน่อย,1
ใครเคยโดนเรียกเอกสารรับรองหักภาษีบ้างครับ,1
รับเงินประกันมิเตอร์ไฟฟ้าคืนทางการโอน ได้คืนภายในกี่วันครับ,1
อยากหาเงินแสนให้ได้ก่อน6เดือนครับ พอจะมีทางไหนบ้างครับ,1
ซื้อของมาใช้ แต่พอดีคิดเงินในนามบริษัทจะเป็นไรไหม,1
เช็คข้อมูลบัญชีเงินฝาก ทุกธนาคาร ที่ไหนได้บ้างครับ,1
โดนหลอกขายประกันจาก TVD Broker จะยกเลิกกรมธรรม์ยังไง,1
คุณคิดว่าบัตรสวัสดิการแห่งรัฐที่ประกาศผู้ได้สิทธิประมาณ 14 ล้านคน มันคือยอดจริงมากน้อยแค่ไหน,1
มีคนเช่าบ้านราคาสูงเท่าผ่อนเองไหม,1
นำเช็คไปขึ้นเงินกี่ชั่วโมงถึงจะใช้เงินได้,1
รหัสสาขาธนาคารกสิกรไทยดูยังไง,1
โอนเงิน QR ทรูมันนี่ เข้าพร้อมเพ แต่ปลายทางไม่ได้รับยอดต้องทำไงคะ,1
Lanna จะมีปันผลไหมคะ,1
ปัจจุบันมีธนาคารไหนเปิดบัญชีใหม่โดยไม่ต้องทำบัตร ATM ได้บ้าง,1
อยากสมัครพร้อมเพย์ต้องทำไงคะ,1
ปิดตาซื้อหุ้นวันนี้ ผมจะดอยไหมครับ,1
BVG ไม่รอแล้วนะ,1
มีคนเอาบัญชีไปรับเงินคนอื่นมาเเละกล่ะโกงทำไงดีคะ,1
Pdj ปันผลเป็นหุ้น และเงินสด น่าสนใจไหมครับ,1
ถ้าไม่มีบัตรเอทีเอ็มหรือบัตรกดเงินสดของกสิกรไทยใช้ App Kasikorn ได้ไหมครับ,1
Tidlor กับ singer ถ้าให้เลือก คุณจะเลือกซื้อตัวไหน,1
สอบถามกูรูเรื่องหุ้นกู้ RLTH กะ MJD ค่ะ,1
เขาเเลกเหรียญกันที่ไหนได้บ้างคับ,1
ขอคำแนะนำเรื่องการออมทองค่ะ,1
อยากร้องเรียน ทำไมการขอเพิ่มวงเงินถาวรของบัตร SCB ถึงยากเย็นและยุ่งยากขนาดนี้,1
ถ้าบัตรสวัสดิการเพิ่มเป็น 1000 ของจะแพงขึ้นมั้ยครับ,1
ตลาดหุ้นช่วง 1 เดือนที่ผ่านมาลงเกือบทุกวันเลยเป็นเพราะสาเหตุอะไรครับ,1
อยู่ๆ บัญชีเราก็โอนเงินให้ใครไม่รู้,1
เติมเกมขึ้นคืนเงินแล้วแต่ยังไม่ได้เงินคืนต้องรอกี่วันคะ,1
ค่าครองชีพคืออะไร?,1
วิธีไหนดีกว่ากันครับ,1
ฝาก Bitkub แต่ไม่สามารถใช้เงินได้เกิดจากอะไร,1
Gunkul ประกาศผลประกอบการหรือยังครับ,1
บัตรเครดิต ไม่เคยกดเปิดใช้ แล้วสามารถใช้ได้ด้วยเหรอ,1
tidlor ลงหนักมากเพราะอะไรหรอครับ,1
สอบถามผู้รู้เกี่ยวกับการกรอกข้อมูล ยื่นภาษีเงินได้บุคคลธรรมดา ค่ะ ,1
หุ้นเวียดนามเจ๊งขนาดนี้ นักลงทุนเขาอยู่กันยังไงครับ,1
มีใครเคยเอา Krungsri Boarding Card ไปใช้ที่ญี่ปุ่นมั่งครับ,1
AIA เขาจ่ายเงินเดือนกันยังไง,1
truemoney wallet ดูยอดรวมของค่าธรรมเนียมรับเงินทั้งหมด ตรงไหนครับ,1
คนที่เคยไปอยู่จีน คิดว่ารวมๆแล้วคนจีนอยู่ดีกว่าและรายได้ดีกว่าคนไทยมั้ยครับ,1
ถ้าฝากเงินในบัญชีไว้นานๆโดย ไม่ถอนไม่มีการเคลื่อนไหว จะถูกปิดไหม,1
จะผ่อนรถต่อแต่เจ้าไม่อยู่ต้องทำไงครับ,1
ทำบัตรเครดิตยากไหมครับ,1
